SrNo,ISO StateCode,Latitude,Longitude,StateName,countrycode,,
401,NO,26.78944,-77.43694,North Abaco District,BS,,
402,NS,24.76694,-78.09611,North Andros District,BS,,
403,NE,25.46278,-76.67556,North Eleuthera District,BS,,
404,RC,23.67806,-74.85667,Rum Cay,BS,,
405,SO,26.04694,-77.24361,South Abaco District,BS,,
406,SA,23.92361,-77.64889,South Andros,BS,,
407,SE,24.80083,-76.18306,South Eleuthera,BS,,
408,SW,25.54538,-76.77057,Spanish Wells District,BS,,
409,WG,26.59333,-78.60056,West Grand Bahama District,BS,,
410,BT-33,27.7,90.78333,Bumthang Dzongkhag,BT,,
411,BT-12,27,89.55,Chhukha Dzongkhag,BT,,
412,BT-22,27.1,89.86667,Dagana Dzongkhag,BT,,
413,BT-GA,27.03333,90.16667,Tsirang Dzongkhag,BT,,
414,BT-31,27.03333,90.41667,Sarpang Dzongkhag,BT,,
415,BT-13,27.33333,89.18333,Haa Dzongkhag,BT,,
416,BT-44,27.75,91.18333,Lhuentse Dzongkhag,BT,,
417,BT-42,27.25,91.23333,Mongar Dzongkhag,BT,,
418,BT-11,27.51667,89.4,Paro Dzongkhag,BT,,
419,BT-43,27,91.36667,Pemagatshel Dzongkhag,BT,,
420,BT-23,27.7,89.85,Punakha Dzongkhag,BT,,
421,BT-14,27.03333,89.08333,Samtse Dzongkhag,BT,,
422,BT-45,26.91667,91.61667,Samdrup Jongkhar Dzongkhag,BT,,
423,BT-34,27.08333,90.85,Zhemgang Dzongkhag,BT,,
424,BT-41,27.25,91.75,Trashigang Dzongkhag,BT,,
425,BT-15,27.6,89.58333,Thimphu Dzongkhag,BT,,
426,BT-32,27.35,90.53333,Trongsa Dzongkhag,BT,,
427,BT-24,27.5,90.13333,Wangdue Phodrang Dzongkhag,BT,,
428,BT-GA,27.91313,89.70886,Gasa,BT,,
429,BT-TY,27.58468,91.45466,Trashi Yangste,BT,,
430,FR,-21.17,27.507778,Francistown,BW,,
431,LO,-25.214167,25.680833,Lobatse,BW,,
432,KW,-24.406587,25.495079,Kweneng,BW,,
433,NW,-19.983333,23.416667,North West,BW,,
434,CE,-22.383333,26.716667,Central,BW,,
435,SO,-24.966746,25.332735,Southern,BW,,
436,KL,-24.416667,26.15,Kgatleng,BW,,
437,KG,-26.05,22.45,Kgalagadi,BW,,
438,CH,-17.816667,25.15,Chobe,BW,,
439,ST,-20.563611,26.224444,Sowa Town,BW,,
440,NE,-20.624546,27.448752,North East,BW,,
441,SP,-21.975833,27.834722,Selibe Phikwe,BW,,
442,GH,-21.566667,21.783333,Ghanzi,BW,,
443,SE,-24.871579,25.869893,South East,BW,,
444,JW,-24.601667,24.728056,Jwaneng,BW,,
445,HO,52.441667,30.983333,Homyelskaya Voblasts,BY,,
446,MA,53.913889,30.336389,Mahilyowskaya Voblasts,BY,,
447,VI,55.1925,30.194444,Vitsyebskaya Voblasts,BY,,
448,BR,52.097548,23.687751,Brestskaya Voblasts,BY,,
449,HR,53.4122,24.5387,Hrodzyenskaya Voblasts,BY,,
450,HO,52.4345,30.9754,Homyelskaya Voblasts,BY,,
451,HM,53.6014,24.7465,Horad Minsk,BY,,
452,VI,53.6884,23.8258,Viciebskaja  Voblasts,BY,,
453,TOL,16.33333,-88.86667,Toledo District,BZ,,
454,SC,16.83333,-88.46667,Stann Creek District,BZ,,
455,OW,17.76667,-88.8,Orange Walk District,BZ,,
456,CZL,18.21667,-88.31667,Corozal District,BZ,,
457,CY,17,-88.9,Cayo District,BZ,,
458,BZ,17.55,-88.41667,Belize District,BZ,,
459,ON,43.666667,-79.416667,Ontario,CA,,
460,AB,53.55,-113.5,Alberta,CA,,
461,MB,49.883333,-97.166667,Manitoba,CA,,
462,QC,46.8,-71.25,Quebec,CA,,
463,NS,44.65,-63.6,Nova Scotia,CA,,
464,BC,48.450234,-123.343529,British Columbia,CA,,
465,SK,50.45,-104.616667,Saskatchewan,CA,,
466,NL,47.55,-52.666667,Newfoundland and Labrador,CA,,
467,NB,45.910648,-66.658649,New Brunswick,CA,,
468,PE,46.238225,-63.139481,Prince Edward Island,CA,,
469,YT,60.716667,-135.05,Yukon,CA,,
470,NT,62.45,-114.35,Northwest Territories,CA,,
471,NU,63.733333,-68.5,Nunavut,CA,,
,CCK         ,-12.1641645,96.87,Western Australia,CC,,
472,HK,-11.671453,27.479161,Haut-Katanga,CD,,
473,KS,-6.134238,23.610154,KasaiOriental,CD,,
474,KC,-5.896241,22.416588,KasaiCentral,CD,,
475,KL,-5.041748,18.819516,Kwilu,CD,,
476,TO,0.51528,25.190987,Tshopo,CD,,
477,SK,-2.490765,28.84281,Sud-Kivu,CD,,
478,LU,-10.716667,25.4725,Lualaba,CD,,
479,EQ,0.048647,18.260335,equateur,CD,,
480,MA,-2.943733,25.922369,Maniema,CD,,
481,BC,-5.838611,13.463056,Kongo Central,CD,,
482,TA,-5.919012,29.190363,Tanganyika,CD,,
483,SU,3.256506,19.772336,Sud-Ubangi,CD,,
484,HU,2.773913,27.616028,Haut-Uele,CD,,
485,NK,-1.674092,29.228452,Nord-Kivu,CD,,
486,HL,-8.735077,24.997983,Haut-Lomami,CD,,
487,IT,1.559406,30.252237,Ituri,CD,,
488,MO,2.153766,21.514955,Mongala,CD,,
489,LO,-6.13921,24.483231,Lomami,CD,,
490,NU,4.278999,21.002844,Nord-Ubangi,CD,,
